# 
# 07/24/2024 13:00:25
# The parameters defined in the project are:
# ,P1 - C1 [degree],P2 - C2 [degree],P3 - C3 [degree],P4 - C4 [degree],P5 - W1 [degree],P6 - W2 [degree],P13 - velocity [m s^-1],P7 - fx-op [N],P8 - fy-op [N],P9 - fz-op [N],P10 - tx-op [J],P11 - ty-op [J],P12 - tz-op [J]
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P1,P2,P3,P4,P5,P6,P13,P7,P8,P9,P10,P11,P12
DP 152,-4.1480163732923,-0.717490903873973,0.1,0.1,0.1,0.1,102,2.5658494,-1.392994,33.619341,0.27812365,2.7071218,-0.030750925
DP 153,3.61856153462505,4.02707367878282,0.1,0.1,0.1,0.1,102,2.1347424,-1.3871905,33.593452,0.48460795,1.0245945,0.06704038
DP 154,-2.9051813970072,-11.1347443432993,0.1,0.1,0.1,0.1,102,2.8137767,-2.9812725,33.98699,0.79726285,-2.3351117,-0.068565198
DP 155,5.00390053950757,18.7680300862865,0.1,0.1,0.1,0.1,102,1.3671713,-3.4595067,36.518195,0.95438698,4.8081632,0.12994922
DP 156,-0.439801023983083,7.64659358053745,0.1,0.1,0.1,0.1,102,1.4901948,-2.1822217,33.858372,0.57936487,4.3057627,0.068318829
DP 157,-1.75436907644796,15.0490390178837,0.1,0.1,0.1,0.1,102,0.13383944,-2.0179761,35.191374,0.11591715,6.6093288,0.073253791
DP 158,1.98574077663298,16.83678201962,0.1,0.1,0.1,0.1,102,1.1693604,-3.8650193,36.038662,1.2689128,5.8165861,0.10290544
DP 159,12.3981850428798,-7.72927637480794,0.1,0.1,0.1,0.1,102,4.1397938,-1.2073673,34.74456,0.4598035,-6.8108005,0.022827342
DP 160,5.08533864473268,-9.65629978154428,0.1,0.1,0.1,0.1,102,3.1905984,-2.5245072,33.846041,0.93412218,-5.1838794,-0.017104396
DP 161,14.5577326982051,-11.0668761350748,0.1,0.1,0.1,0.1,102,3.5322881,-0.15889871,36.335503,-0.28379488,-9.0118524,0.024173456
DP 162,-4.96876928129739,9.97496278117164,0.1,0.1,0.1,0.1,102,-0.30143781,-0.16610837,34.537174,-0.49841841,6.6838726,0.031505355
DP 163,-5.50908475185342,7.41308494608939,0.1,0.1,0.1,0.1,102,0.53735788,-0.3371435,34.041963,-0.19396203,5.749768,0.0010027653
DP 164,15.6121280856604,-5.45708043908414,0.1,0.1,0.1,0.1,102,3.0630344,0.37951645,35.746924,-0.27867865,-6.7781843,0.047989854
DP 165,-5.95632557697847,0.570658704591512,0.1,0.1,0.1,0.1,102,1.1379178,-2.5375672,33.551798,1.0835862,3.4111123,-0.015151817
DP 166,-18.0038851424994,1.80076460202934,0.1,0.1,0.1,0.1,102,-0.35213913,0.7969242,35.76281,-0.21945902,7.1109303,-0.0530431
DP 167,-3.85367344779844,-15.1220700193034,0.1,0.1,0.1,0.1,102,0.6132074,-1.6482878,35.640031,-0.036273253,-3.6346259,-0.093243616
DP 168,-1.25885264839053,-0.562503898174736,0.1,0.1,0.1,0.1,102,2.1072671,-0.68604161,33.359107,-0.01346203,1.3924155,-0.00040375841
DP 169,-2.47266551030617,7.84590075789052,0.1,0.1,0.1,0.1,102,1.4500983,-1.7856148,34.195424,0.31219101,5.45028,0.035462895
DP 170,-6.59129956324883,-13.042060573709,0.1,0.1,0.1,0.1,102,2.830816,-0.85275105,34.579314,-0.16441742,-0.7457649,-0.087951978
DP 171,13.7204899551341,-5.40941251688845,0.1,0.1,0.1,0.1,102,2.0718206,-0.23598748,35.5569,0.080676422,-7.1627682,0.046833619
DP 172,3.84099783356822,0.0241482195811322,0.1,0.1,0.1,0.1,102,3.5773718,-0.60224129,33.707938,0.031878807,-0.067022718,0.044581778
DP 173,8.47943220003151,2.0108654957974,0.1,0.1,0.1,0.1,102,3.8834501,-1.3876158,34.087204,0.53417647,-0.96192405,0.089367138
DP 174,2.13507499920603,11.7838391403669,0.1,0.1,0.1,0.1,102,1.2511029,-2.748836,34.424843,0.81206008,4.5267697,0.098973106
DP 175,6.21172641439559,-2.65693588568979,0.1,0.1,0.1,0.1,102,3.1232331,-0.56103074,33.59399,-0.056537022,-2.9489456,0.028651376
